aX,aY,aZ,gX,gY,gZ
0.331,0.264,0.652,-808.289,236.511,-277.649
0.399,0.152,0.347,-712.707,211.792,-294.128
0.260,-0.338,-0.026,-637.695,214.294,-293.152
0.164,-0.759,-0.257,-524.170,220.154,-274.170
0.200,-0.847,-0.389,-471.497,193.848,-237.671
0.294,-0.880,-0.595,-437.988,174.683,-216.187
0.312,-0.903,-0.638,-345.154,145.264,-163.330
0.242,-0.983,-0.687,-304.687,137.634,-132.629
0.187,-1.007,-0.727,-249.390,128.845,-81.116
0.141,-0.989,-0.903,-228.821,124.573,-66.833
0.188,-0.883,-1.144,-184.570,108.582,-58.655
0.211,-0.840,-1.280,-114.868,72.571,-64.148
0.351,-0.787,-1.551,-65.796,50.598,-65.918
0.467,-0.772,-1.585,48.706,15.381,-51.697
0.650,-0.791,-1.414,97.046,2.625,-34.546
0.693,-0.791,-1.287,152.527,-21.362,11.353
0.708,-0.646,-1.070,166.199,-36.499,32.837
0.629,-0.448,-0.945,189.636,-72.876,65.369
0.576,-0.377,-0.899,215.271,-97.351,83.313
0.542,-0.267,-0.817,230.957,-105.286,86.426
0.569,-0.220,-0.738,268.433,-115.601,91.064
0.603,-0.162,-0.519,282.166,-121.460,98.206
0.595,-0.122,-0.381,280.701,-130.249,112.244
0.585,0.007,-0.170,266.785,-133.484,114.929
0.620,0.192,-0.034,235.840,-135.010,115.906
0.606,0.267,0.030,220.825,-131.226,121.887
0.530,0.308,0.089,219.543,-126.892,126.160
0.536,0.354,0.068,229.370,-115.417,130.249
0.580,0.504,0.127,246.094,-110.535,131.958
0.565,0.500,0.232,290.894,-108.521,136.658
0.467,0.440,0.511,308.167,-108.398,141.479
0.382,0.427,0.668,315.796,-108.032,143.555
0.250,0.455,0.871,306.030,-106.750,132.935
0.241,0.477,0.967,276.001,-125.244,101.501
0.245,0.553,0.924,260.925,-137.695,90.210
0.282,0.575,0.930,250.244,-144.043,77.026
0.264,0.598,1.115,263.062,-156.311,74.646
0.189,0.534,1.334,292.725,-153.748,75.745
0.036,0.331,1.678,281.189,-139.099,76.233
0.001,0.284,1.699,196.838,-87.769,66.223
0.022,0.339,1.484,143.188,-55.725,50.537
0.094,0.413,1.322,67.993,-7.385,8.240
0.277,0.522,1.059,57.129,1.526,-5.859
0.335,0.520,0.983,68.726,-3.967,-9.827
0.381,0.457,0.885,79.041,-12.329,-6.042
0.400,0.413,0.866,96.558,-33.997,3.113
0.973,0.455,1.256,104.797,-44.312,16.724
0.339,0.168,1.857,74.097,-111.206,60.913
0.061,0.201,1.459,42.908,-148.376,54.993
0.080,0.471,0.866,56.030,-27.771,24.231
0.198,0.395,0.829,82.581,45.044,20.508
0.195,0.203,0.753,77.576,51.636,16.052
0.203,0.205,0.759,31.982,21.423,5.005
0.288,0.225,0.893,23.315,8.057,-1.221
0.308,0.205,0.975,27.954,-30.457,-7.996
0.274,0.147,1.145,30.090,-44.434,-7.141
0.239,0.114,1.183,18.066,-40.161,-1.831
0.201,0.085,1.080,5.554,-25.452,1.587
0.197,0.107,0.984,-18.860,5.188,5.127
0.209,0.223,0.892,-26.062,13.672,3.967
0.209,0.268,0.907,-27.283,13.916,0.244
0.210,0.297,0.945,-23.254,9.460,-1.404
0.226,0.293,0.935,-13.123,0.061,-2.319
0.231,0.292,0.923,-6.470,-3.601,0.427
0.229,0.302,0.917,-5.310,-2.563,0.854
0.230,0.307,0.922,-5.432,2.319,-3.052
0.256,0.307,0.915,-5.188,4.578,-5.798
0.278,0.298,0.910,-1.465,6.226,-7.996
0.303,0.272,0.905,1.465,4.639,-7.202
0.295,0.247,0.916,7.751,1.343,-3.479
0.284,0.240,0.925,12.268,3.113,-0.061
0.273,0.219,0.933,12.695,5.859,1.099
0.270,0.212,0.930,6.958,5.615,2.197
0.253,0.227,0.935,4.272,2.930,2.136
0.246,0.231,0.952,5.127,0.488,0.854
0.250,0.221,0.967,5.554,1.038,-0.305
0.255,0.220,0.959,2.686,4.883,-1.526
0.258,0.234,0.936,1.648,7.629,-1.648
0.265,0.235,0.925,1.892,12.329,-1.587
0.282,0.234,0.915,0.977,11.475,-1.648
0.288,0.242,0.924,-1.099,4.639,-0.671
0.293,0.243,0.934,3.296,3.357,2.808
0.297,0.239,0.941,6.531,5.493,4.883
0.292,0.236,0.936,8.789,12.329,8.301
0.281,0.241,0.915,6.897,13.977,8.728
0.272,0.250,0.905,1.404,9.766,7.324
0.261,0.263,0.909,0.366,5.737,6.165
0.254,0.257,0.937,2.258,-0.854,4.272
0.250,0.251,0.945,3.052,-3.296,2.136
0.250,0.240,0.940,2.441,-2.502,1.038
0.255,0.234,0.939,0.549,1.038,-1.099
0.269,0.225,0.942,-0.183,2.441,-2.014
0.283,0.219,0.939,-1.343,3.723,-3.113
0.290,0.219,0.934,-2.014,3.296,-2.136
0.300,0.226,0.925,-1.953,2.686,-1.587
0.303,0.229,0.922,-1.831,2.197,-1.221
0.305,0.233,0.915,-1.831,2.563,-0.366
0.294,0.241,0.913,-1.648,2.136,0.122
0.287,0.248,0.917,-1.221,0.244,0.671
0.273,0.255,0.931,-0.427,-0.488,0.671
0.268,0.254,0.935,1.343,-0.305,0.244
0.263,0.251,0.937,1.526,0.305,-0.183
0.269,0.247,0.933,0.916,2.319,-1.709
0.295,0.233,0.919,0.488,2.869,-2.258
0.302,0.229,0.919,0.488,1.648,-1.404
0.300,0.226,0.934,0.916,0.916,-0.610
0.298,0.226,0.936,0.793,0.305,0.183
0.293,0.232,0.926,-0.061,-0.183,0.366
0.280,0.239,0.927,-0.977,-0.671,0.549
0.276,0.239,0.931,-0.427,0.183,0.366
0.286,0.230,0.922,0.183,2.380,-0.671
0.294,0.228,0.914,-2.075,0.427,-0.977
0.294,0.235,0.924,-2.014,-0.977,-0.366
0.287,0.236,0.935,0.305,-0.977,0.854

-0.003,-0.521,2.680,-28.625,76.782,-46.753
0.066,-0.487,2.963,-215.027,72.083,-32.349
-0.011,-0.190,2.930,-313.965,68.176,-35.217
-0.024,0.208,2.296,-464.722,98.938,-67.261
0.044,0.389,1.974,-518.799,141.113,-121.338
0.203,0.522,1.489,-511.902,164.368,-146.667
0.284,0.428,1.335,-462.158,234.985,-177.734
0.364,0.055,1.029,-443.054,269.226,-185.669
0.378,-0.159,0.853,-432.983,313.721,-184.570
0.343,-0.594,0.559,-441.833,324.402,-171.448
0.302,-0.751,0.427,-501.343,306.763,-127.686
0.154,-0.841,0.031,-540.710,274.536,-111.572
0.054,-0.856,-0.196,-572.937,198.242,-112.244
-0.132,-0.970,-0.543,-564.026,170.837,-124.207
-0.068,-1.031,-1.136,-496.338,153.015,-150.513
0.039,-1.010,-1.442,-352.661,163.208,-147.156
0.176,-1.006,-1.744,-273.071,155.334,-132.080
0.176,-1.046,-1.794,-131.226,106.079,-86.853
0.164,-1.103,-1.845,-71.960,75.195,-62.195
0.252,-0.984,-1.804,19.958,17.212,-21.362
0.299,-0.838,-1.714,92.712,-30.823,13.306
0.379,-0.521,-1.428,131.287,-47.302,28.564
0.411,-0.413,-1.281,198.486,-74.463,49.011
0.454,-0.286,-1.027,221.985,-87.708,54.871
0.446,-0.238,-0.917,253.296,-107.483,66.162
0.391,-0.153,-0.732,262.695,-111.084,71.716
0.433,-0.033,-0.637,264.587,-108.459,72.205
0.497,0.045,-0.575,253.418,-120.789,60.059
0.574,0.147,-0.426,246.887,-132.874,52.917
0.563,0.189,-0.358,234.802,-143.860,43.884
0.540,0.272,-0.242,234.802,-142.456,43.335
0.568,0.303,-0.169,251.709,-135.620,44.006
0.649,0.325,0.020,266.968,-133.789,47.607
0.640,0.285,0.240,295.959,-128.174,64.087
0.608,0.265,0.319,303.589,-123.901,72.327
0.562,0.279,0.393,299.622,-121.826,76.050
0.596,0.304,0.418,297.241,-128.296,68.054
0.677,0.322,0.555,306.152,-139.709,68.542
0.609,0.306,0.802,336.060,-179.138,78.552
0.521,0.265,0.973,349.121,-208.557,83.069
0.290,0.165,1.198,336.365,-243.103,86.121
0.243,0.137,1.332,275.085,-204.102,80.505
0.192,0.212,1.386,241.516,-184.265,73.425
0.196,0.276,1.361,188.599,-135.742,56.702
0.210,0.361,1.316,168.030,-111.450,49.377
0.210,0.387,1.281,140.076,-74.585,35.400
0.206,0.373,1.271,128.418,-45.837,18.433
0.229,0.303,1.303,122.925,-30.823,10.071
0.248,0.269,1.320,98.022,-8.240,-2.625
0.274,0.240,1.234,78.247,-0.671,-6.653
0.289,0.251,1.147,42.175,7.996,-13.733
0.327,0.272,0.978,34.363,8.667,-17.029
0.473,0.272,0.928,34.058,7.690,-16.968
0.963,0.299,1.255,42.908,-1.648,23.315
0.413,0.123,1.881,23.499,-24.597,39.185
-0.029,-0.004,1.472,-29.663,-32.104,-6.958
0.242,0.277,0.832,-21.301,16.724,-14.160
0.310,0.350,0.801,33.203,58.167,2.441
0.237,0.242,0.701,39.917,49.622,4.517
0.274,0.228,0.744,17.090,45.349,-2.380
0.398,0.135,0.900,7.202,34.607,-9.583
0.434,0.089,0.919,-1.221,1.648,-11.292
0.444,0.096,0.961,-1.038,-7.263,-4.028
