aX,aY,aZ,gX,gY,gZ
-0.022,0.180,1.102,-14.893,15.381,35.645
-0.040,0.181,1.060,-12.634,18.921,33.875
-0.051,0.228,1.041,2.258,28.748,28.076
-0.040,0.246,1.028,4.333,29.602,18.433
-0.023,0.247,1.003,0.854,26.672,14.404
-0.014,0.223,0.991,-5.188,19.470,7.507
0.044,0.169,0.975,-5.798,15.686,5.127
0.086,0.149,0.977,-3.601,9.949,4.333
0.083,0.146,0.978,-2.441,10.376,5.493
0.049,0.162,0.986,1.770,14.648,7.080
0.028,0.169,0.991,5.554,14.404,2.563
0.033,0.137,0.996,3.540,11.902,-1.770
0.055,0.109,1.001,-6.897,3.418,-6.409
0.086,0.059,1.005,-11.108,1.648,-6.042
0.097,0.039,0.993,-12.756,6.836,-4.761
0.091,0.011,0.938,-10.193,10.620,-3.967
0.082,-0.011,0.895,-2.563,12.817,-4.944
0.089,-0.018,0.893,-1.831,3.052,-8.362
0.110,-0.038,0.912,-3.784,-2.747,-9.216
0.119,-0.060,0.924,-6.348,-9.399,-7.751
0.137,-0.097,0.951,-6.226,-10.925,-5.676
0.137,-0.085,0.985,-0.793,-10.254,-0.427
0.131,-0.075,0.992,7.690,-4.272,2.747
0.109,-0.049,0.991,9.521,-2.747,4.211
0.095,-0.032,0.992,9.216,-3.845,5.737
0.083,-0.025,1.004,8.667,-4.639,5.737
0.089,-0.029,1.015,6.470,-6.714,7.446
0.088,-0.015,1.036,5.249,-6.348,8.789
0.080,-0.011,1.030,4.761,-1.282,8.362
0.060,-0.006,1.003,5.066,-0.183,7.507
0.052,-0.001,0.997,5.676,-2.747,4.517
0.053,0.002,1.015,5.371,-5.249,0.916
0.065,-0.012,1.032,5.005,-4.700,0.061
0.068,-0.021,1.032,4.395,-3.174,-0.061
0.067,-0.031,1.015,2.502,-0.061,0.671
0.066,-0.030,1.006,2.991,1.953,0.488
0.064,-0.026,0.996,4.333,2.625,0.000
0.063,-0.020,0.997,5.554,3.052,-1.648
0.070,-0.019,1.004,4.089,2.563,-2.747
0.076,-0.022,1.009,-1.221,1.160,-4.333
0.078,-0.038,1.003,-2.808,1.404,-4.944
0.084,-0.060,0.986,-2.258,2.380,-5.859
0.089,-0.063,0.986,0.671,1.160,-4.089
0.094,-0.060,0.996,1.953,1.038,-2.991
0.098,-0.059,1.001,2.441,1.282,-0.305
0.090,-0.043,1.007,1.831,1.221,1.038
0.082,-0.035,1.001,-0.061,1.160,0.671
0.073,-0.034,0.988,-1.038,-0.061,-0.427
0.083,-0.035,1.002,-2.014,-3.662,-1.770
0.088,-0.040,1.009,-0.122,-2.869,-1.404
0.091,-0.048,1.015,1.099,-1.282,-0.488
0.086,-0.047,1.011,2.747,1.709,1.465
0.076,-0.036,1.003,2.563,1.892,1.587
0.079,-0.032,1.008,-0.549,-0.061,0.549
0.085,-0.034,1.012,-4.578,-1.953,-0.488
0.090,-0.043,1.007,-5.554,-2.014,-0.427
0.088,-0.047,0.999,-3.479,-0.305,0.000
0.089,-0.048,0.987,-1.465,0.610,0.488
0.086,-0.040,0.990,1.404,1.526,1.770
0.077,-0.027,0.998,1.038,1.526,1.526
0.078,-0.032,1.000,-2.136,0.671,0.244
0.083,-0.039,0.997,-3.296,0.366,0.061
0.085,-0.033,0.989,-2.747,1.099,0.610
0.080,-0.025,0.983,-1.465,2.258,0.854
0.077,-0.020,0.973,-1.831,1.587,0.854
0.076,-0.020,0.974,-0.549,-0.305,1.221
0.076,-0.020,0.982,1.465,-0.122,0.793
0.081,-0.025,0.991,2.502,-0.244,-0.610
0.086,-0.032,0.995,-2.319,-2.441,-1.343
0.091,-0.045,0.999,-3.540,-2.625,-1.221
0.090,-0.046,0.997,-0.793,-0.854,-0.061
0.084,-0.036,0.997,1.160,0.122,0.610
0.077,-0.023,1.002,3.235,1.221,1.038
0.075,-0.019,1.005,3.052,1.282,0.732
0.076,-0.019,1.005,-0.122,0.305,-0.549
0.080,-0.024,1.002,-3.967,-1.892,-1.160
0.083,-0.030,1.001,-4.272,-2.197,-0.916
0.081,-0.034,0.999,-1.892,-0.549,-0.488
0.085,-0.042,0.990,-0.427,0.000,-0.305
